INFO 2025-01-15 13:44:52,849 autoreload Watching for file changes with StatReloader
DEBUG 2025-01-15 13:44:52,929 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/rest_framework/apps.py first seen with mtime 1736859913.9810252
DEBUG 2025-01-15 13:44:52,929 autoreload File /usr/lib/python3.12/importlib/_abc.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,929 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/contrib/admin/templatetags/log.py first seen with mtime 1736859858.5339017
DEBUG 2025-01-15 13:44:52,929 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/apps/registry.py first seen with mtime 1736859858.1289008
DEBUG 2025-01-15 13:44:52,929 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/utils/module_loading.py first seen with mtime 1736859859.2769034
DEBUG 2025-01-15 13:44:52,929 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/core/files/base.py first seen with mtime 1736859859.1519032
DEBUG 2025-01-15 13:44:52,930 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/contrib/admin/templatetags/base.py first seen with mtime 1736859858.5329018
DEBUG 2025-01-15 13:44:52,930 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/core/__init__.py first seen with mtime 1736859859.142903
DEBUG 2025-01-15 13:44:52,930 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/template/defaulttags.py first seen with mtime 1736859859.2449033
DEBUG 2025-01-15 13:44:52,930 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/db/backends/postgresql/__init__.py first seen with mtime 1736859859.1839032
DEBUG 2025-01-15 13:44:52,930 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/contrib/auth/apps.py first seen with mtime 1736859858.615902
DEBUG 2025-01-15 13:44:52,930 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/db/models/fields/generated.py first seen with mtime 1736859859.2059033
DEBUG 2025-01-15 13:44:52,930 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/contrib/admin/templatetags/__init__.py first seen with mtime 1736859858.5319018
DEBUG 2025-01-15 13:44:52,930 autoreload File /usr/lib/python3.12/http/__init__.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,930 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/core/signals.py first seen with mtime 1736859859.143903
DEBUG 2025-01-15 13:44:52,930 autoreload File /usr/lib/python3.12/lib-dynload/_sqlite3.cpython-312-x86_64-linux-gnu.so first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,930 autoreload File /usr/lib/python3.12/subprocess.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,930 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/contrib/postgres/utils.py first seen with mtime 1736859858.9459026
DEBUG 2025-01-15 13:44:52,930 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/core/cache/__init__.py first seen with mtime 1736859859.1449032
DEBUG 2025-01-15 13:44:52,930 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/core/checks/security/base.py first seen with mtime 1736859859.1509032
DEBUG 2025-01-15 13:44:52,930 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/templatetags/__init__.py first seen with mtime 1736859859.2489033
DEBUG 2025-01-15 13:44:52,930 autoreload File /usr/lib/python3.12/sysconfig.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,930 autoreload File /usr/lib/python3.12/lib-dynload/_decimal.cpython-312-x86_64-linux-gnu.so first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,930 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/utils/translation/__init__.py first seen with mtime 1736859859.2809033
DEBUG 2025-01-15 13:44:52,930 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/contrib/auth/checks.py first seen with mtime 1736859858.615902
DEBUG 2025-01-15 13:44:52,930 autoreload File /usr/lib/python3.12/email/header.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,930 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/rest_framework/utils/urls.py first seen with mtime 1736859914.0680254
DEBUG 2025-01-15 13:44:52,930 autoreload File /usr/lib/python3.12/calendar.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,930 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/core/management/color.py first seen with mtime 1736859859.1589031
DEBUG 2025-01-15 13:44:52,930 autoreload File /usr/lib/python3.12/contextlib.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,930 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/sqlparse/__init__.py first seen with mtime 1736859857.8529003
DEBUG 2025-01-15 13:44:52,930 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/rest_framework/utils/representation.py first seen with mtime 1736859914.0670254
DEBUG 2025-01-15 13:44:52,930 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/contrib/staticfiles/apps.py first seen with mtime 1736859859.1389031
DEBUG 2025-01-15 13:44:52,931 autoreload File /usr/lib/python3.12/lib-dynload/_asyncio.cpython-312-x86_64-linux-gnu.so first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,931 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/rest_framework/utils/formatting.py first seen with mtime 1736859914.0660253
DEBUG 2025-01-15 13:44:52,931 autoreload File /usr/lib/python3.12/email/quoprimime.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,931 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/template/backends/base.py first seen with mtime 1736859859.2469034
DEBUG 2025-01-15 13:44:52,931 autoreload File /usr/lib/python3.12/email/headerregistry.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,931 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/templatetags/l10n.py first seen with mtime 1736859859.2539034
DEBUG 2025-01-15 13:44:52,931 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/utils/safestring.py first seen with mtime 1736859859.2779033
DEBUG 2025-01-15 13:44:52,931 autoreload File /usr/lib/python3.12/email/mime/message.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,931 autoreload File /usr/lib/python3.12/asyncio/protocols.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,931 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/contrib/admin/utils.py first seen with mtime 1736859858.3159013
DEBUG 2025-01-15 13:44:52,931 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/db/models/signals.py first seen with mtime 1736859859.2039032
DEBUG 2025-01-15 13:44:52,931 autoreload File /usr/lib/python3.12/wsgiref/__init__.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,931 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/contrib/auth/tokens.py first seen with mtime 1736859858.619902
DEBUG 2025-01-15 13:44:52,931 autoreload File /usr/lib/python3.12/asyncio/streams.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,931 autoreload File /usr/lib/python3.12/email/iterators.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,931 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/core/mail/message.py first seen with mtime 1736859859.156903
DEBUG 2025-01-15 13:44:52,931 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/contrib/staticfiles/views.py first seen with mtime 1736859859.140903
DEBUG 2025-01-15 13:44:52,931 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/db/models/deletion.py first seen with mtime 1736859859.1989033
DEBUG 2025-01-15 13:44:52,931 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/middleware/csrf.py first seen with mtime 1736859859.2409034
DEBUG 2025-01-15 13:44:52,931 autoreload File /usr/lib/python3.12/multiprocessing/__init__.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,931 autoreload File /usr/lib/python3.12/urllib/parse.py first seen with mtime 1730917939.0
